sim_time,clock,KW_7,KVAR_7,Vpu_7,Vpu_12
14515200.0,2019-07-30 13:32:10.501000,0.0,0.0,0.99453372453,0.975128360166
14515200.0,2019-07-30 13:32:10.535000,0.0,0.0,0.99453372453,0.975128360166
14515200.0,2019-07-30 13:32:10.575000,0.000195126797626,0.0,0.994533728446,0.975128364162
14515200.0,2019-07-30 13:32:10.645000,0.000195126800534,0.0,0.994533728446,0.975128364162
14515200.0,2019-07-30 13:32:10.687000,0.000195126797626,1.49011611939e-08,0.994533728446,0.975128364162
14515200.0,2019-07-30 13:32:10.738000,0.000195126797626,0.0,0.994533728446,0.975128364162
14515200.0,2019-07-30 13:32:10.781000,0.000195126797626,-1.26217744822e-29,0.994533728446,0.975128364162
14515200.0,2019-07-30 13:32:12.679000,0.000195126797626,-1.26217744822e-29,0.994533728446,0.975128364162
14515200.0,2019-07-30 13:32:12.701000,0.000195126797626,-1.26217744822e-29,0.994533728446,0.975128364162
14515200.0,2019-07-30 13:32:12.723000,0.000195126797626,-1.26217744822e-29,0.994533728446,0.975128364162
14517000.0,2019-07-30 13:32:12.745000,0.000195126797626,-1.26217744822e-29,0.994533728446,0.975128364162
14517000.0,2019-07-30 13:32:13.592000,0.00019512844906,0.0,0.994533728446,0.975128364162
14518800.0,2019-07-30 13:32:13.819000,0.00019512844906,0.0,0.994533728446,0.975128364162
14518800.0,2019-07-30 13:32:14.626000,0.000195140863213,0.0,0.994533728446,0.975128364162
14520600.0,2019-07-30 13:32:14.863000,0.000195140863213,0.0,0.994533728446,0.975128364162
14520600.0,2019-07-30 13:32:15.657000,0.000195163561204,0.0,0.994533728447,0.975128364163
14522400.0,2019-07-30 13:32:15.882000,0.000195163561204,0.0,0.994533728447,0.975128364163
14522400.0,2019-07-30 13:32:16.678000,0.000195195735795,0.0,0.994533728447,0.975128364164
14524200.0,2019-07-30 13:32:16.910000,0.000195195735795,0.0,0.994533728447,0.975128364164
14524200.0,2019-07-30 13:32:17.716000,0.000195236376102,0.0,0.994533728448,0.975128364164
14526000.0,2019-07-30 13:32:17.941000,0.000195236376102,0.0,0.994533728448,0.975128364164
14526000.0,2019-07-30 13:32:18.737000,0.000195284392807,0.0,0.994533728449,0.975128364165
14527800.0,2019-07-30 13:32:18.961000,0.000195284392807,0.0,0.994533728449,0.975128364165
14527800.0,2019-07-30 13:32:19.746000,0.000195338716356,0.0,0.99453372845,0.975128364167
14529600.0,2019-07-30 13:32:19.968000,0.000195338716356,0.0,0.99453372845,0.975128364167
14529600.0,2019-07-30 13:32:20.759000,0.000195398358779,0.0,0.994533728451,0.975128364168
14531400.0,2019-07-30 13:32:20.986000,0.000195398358779,0.0,0.994533728451,0.975128364168
14531400.0,2019-07-30 13:32:21.813000,0.000195462443014,0.0,0.994533728453,0.975128364169
14533200.0,2019-07-30 13:32:22.034000,0.000195462443014,0.0,0.994533728453,0.975128364169
14533200.0,2019-07-30 13:32:22.829000,22.9853987931,0.0,0.994994753675,0.975598789457
14535000.0,2019-07-30 13:32:23.072000,22.9853987931,0.0,0.994994753675,0.975598789457
14535000.0,2019-07-30 13:32:23.867000,80.3180186953,0.0,0.996142298569,0.976769691801
14536800.0,2019-07-30 13:32:24.094000,80.3180186953,0.0,0.996142298569,0.976769691801
14536800.0,2019-07-30 13:32:24.843000,211.470037963,0.0,0.998754605276,0.979434956174
14538600.0,2019-07-30 13:32:25.068000,211.470037963,0.0,0.998754605276,0.979434956174
14538600.0,2019-07-30 13:32:25.913000,406.234341158,0.0,1.0026017114,0.983359515445
14540400.0,2019-07-30 13:32:26.156000,406.234341158,0.0,1.0026017114,0.983359515445
14540400.0,2019-07-30 13:32:26.920000,622.471647164,0.0,1.00682890716,0.987671087813
14542200.0,2019-07-30 13:32:27.167000,622.471647164,0.0,1.00682890716,0.987671087813
