sim_time,clock,KW_7,KVAR_7,Vpu_7,Vpu_12
14569200.0,2019-07-30 13:31:58.994000,1581.38871005,-405.263110268,1.01924658649,1.00033231246
14569200.0,2019-07-30 13:31:59.092000,1581.38871005,-403.286008247,1.01927519436,1.00036147411
14569201.0,2019-07-30 13:31:59.114000,1581.38871005,-403.286008247,1.01927519436,1.00036147411
14569201.0,2019-07-30 13:31:59.907000,1206.45632443,-285.675983995,1.01391651945,0.994898487348
14572800.0,2019-07-30 13:31:59.929000,1206.45632443,-285.675983995,1.01391651945,0.994898487348
14572800.0,2019-07-30 13:32:00.029000,1206.45632443,-282.962748633,1.01395582202,0.994938559267
14572801.0,2019-07-30 13:32:00.051000,1206.45632443,-282.962748633,1.01395582202,0.994938559267
14572801.0,2019-07-30 13:32:00.919000,773.380967505,-121.839313061,1.00799277902,0.988858058413
14576400.0,2019-07-30 13:32:00.941000,773.380967505,-121.839313061,1.00799277902,0.988858058413
14576400.0,2019-07-30 13:32:01.047000,773.380967505,-119.833630251,1.00802183709,0.988887692449
14576401.0,2019-07-30 13:32:01.070000,773.380967505,-119.833630251,1.00802183709,0.988887692449
14576401.0,2019-07-30 13:32:03.067000,345.668193918,6.30512866621e-11,1.00140945008,0.982143318513
14580000.0,2019-07-30 13:32:03.100000,345.668193918,6.30512866621e-11,1.00140945008,0.982143318513
14580000.0,2019-07-30 13:32:03.196000,345.668193918,6.22743240839e-11,1.00140945008,0.982143318513
14580001.0,2019-07-30 13:32:03.231000,345.668193918,6.22743240839e-11,1.00140945008,0.982143318513
14580001.0,2019-07-30 13:32:04.234000,48.7962585813,4.91158476739e-12,0.995511796272,0.976126363211
14583600.0,2019-07-30 13:32:04.294000,48.7962585813,4.91158476739e-12,0.995511796272,0.976126363211
14583600.0,2019-07-30 13:32:04.437000,48.7962585813,4.85106171384e-12,0.995511796272,0.976126363211
14583601.0,2019-07-30 13:32:04.484000,48.7962585813,4.85106171384e-12,0.995511796272,0.976126363211
14583601.0,2019-07-30 13:32:05.313000,1.43552685634,3.82666656069e-13,0.99456253378,0.975157757096
14587200.0,2019-07-30 13:32:05.341000,1.43552685634,3.82666656069e-13,0.99456253378,0.975157757096
14587200.0,2019-07-30 13:32:05.435000,1.43552685634,3.77951317855e-13,0.99456253378,0.975157757096
14587201.0,2019-07-30 13:32:05.462000,1.43552685634,3.77951317855e-13,0.99456253378,0.975157757096
14587201.0,2019-07-30 13:32:06.087000,0.000195322329123,5.8902700837e-15,0.99453372845,0.975128364166
14590800.0,2019-07-30 13:32:06.113000,0.000195322329123,5.8902700837e-15,0.99453372845,0.975128364166
14590800.0,2019-07-30 13:32:06.216000,0.000195322329123,5.81768949644e-15,0.99453372845,0.975128364166
14590801.0,2019-07-30 13:32:06.243000,0.000195322329123,5.81768949644e-15,0.99453372845,0.975128364166
14590801.0,2019-07-30 13:32:06.850000,0.000195223862209,9.06757165198e-17,0.994533728448,0.975128364164
14594400.0,2019-07-30 13:32:06.881000,0.000195223862209,9.06757165198e-17,0.994533728448,0.975128364164
14594400.0,2019-07-30 13:32:06.981000,0.000195223862209,8.9558417785e-17,0.994533728448,0.975128364164
14594401.0,2019-07-30 13:32:07.008000,0.000195223862209,8.9558417785e-17,0.994533728448,0.975128364164
14594401.0,2019-07-30 13:32:07.655000,0.000195156188,1.39600799834e-18,0.994533728446,0.975128364163
14598000.0,2019-07-30 13:32:07.684000,0.000195156188,1.39600799834e-18,0.994533728446,0.975128364163
14598000.0,2019-07-30 13:32:07.777000,0.000195156188,1.37880677789e-18,0.994533728446,0.975128364163
14598001.0,2019-07-30 13:32:07.807000,0.000195156188,1.37880677789e-18,0.994533728446,0.975128364163
14598001.0,2019-07-30 13:32:08.453000,0.000195127228639,2.14944280373e-20,0.994533728446,0.975128364162
14601600.0,2019-07-30 13:32:08.483000,0.000195127228639,2.14944280373e-20,0.994533728446,0.975128364162
